ID,FaceID,Trial_Round1,FirstRating,OtherRating,Trial_Round2,SecondRating,Feedback,Change,Class
15,56,145,7,4,245,8,-3,1,1
15,57,137,6,4,237,6,-2,0,1
15,58,172,2,2,272,5,0,3,1
15,59,144,6,3,244,7,-3,1,1
15,6,136,4,1,236,2,-3,-2,1
15,60,133,3,0,233,4,-3,1,1
15,61,153,5,5,253,6,0,1,1
15,62,160,2,4,260,2,2,0,1
15,63,173,6,0,273,7,-6,1,1
15,64,176,1,4,276,4,3,3,1
15,65,128,5,8,228,6,3,1,1
15,66,156,3,5,256,2,2,-1,1
15,67,15,5,7,25,7,2,2,1
15,68,140,4,6,240,4,2,0,1
15,69,179,3,1,279,4,-2,1,1
15,7,167,3,6,267,6,3,3,1
15,70,146,2,2,246,6,0,4,1
15,71,114,6,4,214,4,-2,-2,1
15,72,178,3,6,278,6,3,3,1
15,73,129,2,2,229,1,0,-1,1
15,74,131,8,5,231,8,-3,0,1
15,75,120,5,5,220,4,0,-1,1
15,76,149,5,0,249,7,-5,2,1
15,77,135,3,6,235,5,3,2,1
15,78,170,2,5,270,1,3,-1,1
15,79,118,7,7,218,6,0,-1,1
15,8,126,3,6,226,4,3,1,1
15,80,124,6,4,224,6,-2,0,1
15,81,117,3,0,217,2,-3,-1,1
15,9,158,2,5,258,2,3,0,1
16,10,19,6,0,29,6,-6,0,1
16,11,150,7,5,250,6,-2,-1,1
16,12,153,4,7,253,4,3,0,1
16,13,115,3,5,215,2,2,-1,1
16,14,129,2,4,229,3,2,1,1
16,15,143,4,2,243,4,-2,0,1
16,16,124,4,4,224,4,0,0,1
16,17,176,4,1,276,4,-3,0,1
16,18,139,5,2,239,5,-3,0,1
16,19,123,6,8,223,4,2,-2,1
16,2,111,3,5,211,3,2,0,1
16,20,146,7,4,246,6,-3,-1,1
16,21,14,4,4,24,3,0,-1,1
16,22,118,2,4,218,1,2,-1,1
16,23,168,3,5,268,5,2,2,1
16,24,112,6,3,212,6,-3,0,1
16,25,113,2,5,213,4,3,2,1
16,26,166,7,5,266,7,-2,0,1
16,27,159,3,3,259,5,0,2,1
16,28,179,5,5,279,6,0,1,1
16,29,164,6,3,264,7,-3,1,1
16,3,173,2,0,273,3,-2,1,1
16,30,140,6,8,240,5,2,-1,1
16,31,174,4,7,274,3,3,-1,1
16,32,157,4,0,257,4,-4,0,1
16,33,120,2,4,220,2,2,0,1
16,34,170,2,2,270,4,0,2,1
16,35,18,7,4,28,6,-3,-1,1
16,36,152,2,5,252,3,3,1,1
16,37,125,6,0,225,6,-6,0,1
16,38,137,2,2,237,2,0,0,1
16,39,169,3,1,269,3,-2,0,1
16,4,130,6,8,230,4,2,-2,1
16,40,136,7,7,236,5,0,-2,1
16,41,122,5,7,222,5,2,0,1
16,42,17,1,4,27,1,3,0,1
16,43,180,5,3,280,5,-2,0,1
16,44,145,4,7,245,3,3,-1,1
16,45,132,6,4,232,4,-2,-2,1
16,46,116,3,5,216,3,2,0,1
16,47,141,7,0,241,5,-7,-2,1
16,48,162,2,4,262,3,2,1,1
16,49,121,2,2,221,2,0,0,1
16,5,167,2,2,267,5,0,3,1
16,50,149,3,0,249,5,-3,2,1
16,51,134,2,2,234,2,0,0,1
16,52,177,2,5,277,4,3,2,1
16,53,178,4,4,278,5,0,1,1
16,54,131,6,8,231,3,2,-3,1
16,55,160,4,1,260,4,-3,0,1
16,56,154,8,6,254,7,-2,-1,1
16,57,171,2,2,271,5,0,3,1
16,58,110,2,5,210,3,3,1,1
16,59,161,6,8,261,5,2,-1,1
16,6,151,2,5,251,3,3,1,1
16,60,13,6,4,23,3,-2,-3,1
16,61,133,3,0,233,3,-3,0,1
16,62,165,2,0,265,2,-2,0,1
16,63,127,4,4,227,4,0,0,1
16,64,15,2,2,25,2,0,0,1
16,65,128,4,7,228,5,3,1,1
16,66,148,3,3,248,4,0,1,1
16,67,114,5,8,214,3,3,-2,1
16,68,142,6,4,242,5,-2,-1,1
16,69,147,4,6,247,4,2,0,1
16,7,158,4,6,258,4,2,0,1
16,70,12,6,8,22,4,2,-2,1
16,71,11,6,0,21,5,-6,-1,1
16,72,16,4,1,26,3,-3,-1,1
16,73,172,2,4,272,3,2,1,1
16,74,175,5,3,275,5,-2,0,1
16,75,126,3,6,226,4,3,1,1
16,76,163,5,2,263,6,-3,1,1
16,77,155,5,5,255,5,0,0,1
16,78,156,3,5,256,4,2,1,1
16,79,144,8,6,244,7,-2,-1,1
16,8,117,4,0,217,2,-4,-2,1
16,80,119,3,1,219,2,-2,-1,1
16,81,135,6,4,235,6,-2,0,1
16,9,138,2,2,238,3,0,1,1
17,10,168,6,3,268,5,-3,-1,1
17,11,125,6,0,225,5,-6,-1,1
17,12,173,5,0,273,5,-5,0,1
17,13,179,4,6,279,2,2,-2,1
17,14,136,5,7,236,5,2,0,1
17,15,16,4,1,26,4,-3,0,1
17,16,132,5,2,232,5,-3,0,1
17,17,139,5,5,239,5,0,0,1
17,18,156,6,6,256,6,0,0,1
17,19,169,5,8,269,5,3,0,1
17,2,117,5,0,217,5,-5,0,1
17,20,160,7,7,260,5,0,-2,1
17,21,151,5,3,251,4,-2,-1,1
17,22,171,4,7,271,3,3,-1,1
17,23,177,5,8,277,5,3,0,1
17,24,110,3,5,210,5,2,2,1
17,25,137,5,3,237,5,-2,0,1
17,26,17,6,6,27,6,0,0,1
17,27,140,5,5,240,5,0,0,1
17,28,150,6,4,250,5,-2,-1,1
