Education,Year,ID,Framing,BotStrategy,Trial,Decision,BotDecision,Payoff
CogSci,2019,e442rd3v,Human,RS,22,1,0,-1
CogSci,2019,e442rd3v,Human,RS,23,0,1,-1
CogSci,2019,e442rd3v,Human,RS,24,1,0,-1
CogSci,2019,e442rd3v,Human,WSLS,3,0,1,-1
CogSci,2019,e442rd3v,Human,WSLS,4,0,1,-1
CogSci,2019,e442rd3v,Human,WSLS,5,0,1,-1
CogSci,2019,e442rd3v,Human,WSLS,6,0,1,-1
CogSci,2019,e442rd3v,Human,WSLS,7,1,1,1
CogSci,2019,e442rd3v,Human,WSLS,8,1,0,-1
CogSci,2019,e442rd3v,Human,WSLS,9,1,0,-1
Religion,2019,ts1s8qy7,Human,WSLS,1,0,1,-1
Religion,2019,ts1s8qy7,Human,WSLS,10,1,0,-1
Religion,2019,ts1s8qy7,Human,WSLS,11,1,0,-1
Religion,2019,ts1s8qy7,Human,WSLS,12,1,0,-1
Religion,2019,ts1s8qy7,Human,RS,13,1,0,-1
Religion,2019,ts1s8qy7,Human,RS,14,0,1,-1
Religion,2019,ts1s8qy7,Human,RS,15,0,1,-1
Religion,2019,ts1s8qy7,Human,RS,16,1,0,-1
Religion,2019,ts1s8qy7,Human,RS,17,1,0,-1
Religion,2019,ts1s8qy7,Human,RS,18,0,1,-1
Religion,2019,ts1s8qy7,Human,RS,19,0,1,-1
Religion,2019,ts1s8qy7,Human,WSLS,2,0,1,-1
Religion,2019,ts1s8qy7,Human,RS,20,0,1,-1
Religion,2019,ts1s8qy7,Human,RS,21,1,0,-1
Religion,2019,ts1s8qy7,Human,RS,22,1,0,-1
Religion,2019,ts1s8qy7,Human,RS,23,1,0,-1
Religion,2019,ts1s8qy7,Human,RS,24,0,1,-1
Religion,2019,ts1s8qy7,Human,WSLS,3,0,1,-1
Religion,2019,ts1s8qy7,Human,WSLS,4,0,1,-1
Religion,2019,ts1s8qy7,Human,WSLS,5,1,1,1
Religion,2019,ts1s8qy7,Human,WSLS,6,1,0,-1
Religion,2019,ts1s8qy7,Human,WSLS,7,1,0,-1
Religion,2019,ts1s8qy7,Human,WSLS,8,0,0,1
Religion,2019,ts1s8qy7,Human,WSLS,9,1,1,1
Design,2019,wxlsjjrd,Human,WSLS,1,0,1,-1
Design,2019,wxlsjjrd,Human,WSLS,10,0,0,1
Design,2019,wxlsjjrd,Human,WSLS,11,1,1,1
Design,2019,wxlsjjrd,Human,WSLS,12,0,0,1
Design,2019,wxlsjjrd,Human,RS,13,1,0,-1
Design,2019,wxlsjjrd,Human,RS,14,1,0,-1
Design,2019,wxlsjjrd,Human,RS,15,1,0,-1
Design,2019,wxlsjjrd,Human,RS,16,1,0,-1
Design,2019,wxlsjjrd,Human,RS,17,1,0,-1
Design,2019,wxlsjjrd,Human,RS,18,0,1,-1
Design,2019,wxlsjjrd,Human,RS,19,1,0,-1
Design,2019,wxlsjjrd,Human,WSLS,2,1,1,1
Design,2019,wxlsjjrd,Human,RS,20,0,1,-1
Design,2019,wxlsjjrd,Human,RS,21,1,0,-1
Design,2019,wxlsjjrd,Human,RS,22,0,1,-1
Design,2019,wxlsjjrd,Human,RS,23,0,1,-1
Design,2019,wxlsjjrd,Human,RS,24,1,0,-1
Design,2019,wxlsjjrd,Human,WSLS,3,1,0,-1
